name,bco,url,logo
BACS BANCO DE CREDITO Y SECURITIZAC,00340,http://www.bacs.com.ar,https://www.bcra.gob.ar/Imagenes/logosbancos/00340.jpg
BANCO BBVA ARGENTINA S.A.,00017,http://www.bbva.com.ar,https://www.bcra.gob.ar/Imagenes/logosbancos/00017.jpg
BANCO BICA S.A.,00426,http://www.bancobica.com.ar,https://www.bcra.gob.ar/Imagenes/logosbancos/00426.jpg
BANCO BRADESCO ARGENTINA S.A.U.,00336,http://bradesco.com.ar,https://www.bcra.gob.ar/Imagenes/logosbancos/00336.jpg
BANCO CETELEM ARGENTINA S.A.,00331,http://www.cetelem.com.ar,https://www.bcra.gob.ar/Imagenes/logosbancos/00331.jpg
BANCO CMF S.A.,00319,http://www.bancocmf.com.ar,https://www.bcra.gob.ar/Imagenes/logosbancos/00319.jpg
BANCO COINAG S.A.,00431,http://www.bancocoinag.com,https://www.bcra.gob.ar/Imagenes/logosbancos/00431.jpg
BANCO COLUMBIA S.A.,00389,http://www.bancocolumbia.com.ar,https://www.bcra.gob.ar/Imagenes/logosbancos/00389.jpg
BANCO COMAFI SOCIEDAD ANONIMA,00299,http://www.comafi.com.ar,https://www.bcra.gob.ar/Imagenes/logosbancos/00299.jpg
BANCO CREDICOOP COOPERATIVO LIMITAD,00191,http://www.bancocredicoop.coop,https://www.bcra.gob.ar/Imagenes/logosbancos/00191.jpg
BANCO DE COMERCIO S.A.,00432,http://www.bancodecomercio.com.ar,https://www.bcra.gob.ar/Imagenes/logosbancos/00432.jpg
BANCO DE CORRIENTES S.A.,00094,http://www.bancodecorrientes.com.ar,https://www.bcra.gob.ar/Imagenes/logosbancos/00094.jpg
BANCO DE FORMOSA S.A.,00315,http://www.bancodeformosa.com,https://www.bcra.gob.ar/Imagenes/logosbancos/00315.jpg
BANCO DE GALICIA Y BUENOS AIRES S.A,00007,http://www.bancogalicia.com,https://www.bcra.gob.ar/Imagenes/logosbancos/00007.jpg
BANCO DE INVERSION Y COMERCIO EXTER,00300,http://www.bice.com.ar,https://www.bcra.gob.ar/Imagenes/logosbancos/00300.jpg
BANCO DE LA CIUDAD DE BUENOS AIRES,00029,http://www.bancociudad.com.ar/institucional/,https://www.bcra.gob.ar/Imagenes/logosbancos/00029.jpg
BANCO DE LA NACION ARGENTINA,00011,http://www.bna.com.ar,https://www.bcra.gob.ar/Imagenes/logosbancos/00011.jpg
BANCO DE LA PAMPA SOCIEDAD DE ECONO,00093,http://www.bancodelapampa.com.ar,https://www.bcra.gob.ar/Imagenes/logosbancos/00093.jpg
BANCO DE LA PROVINCIA DE BUENOS AIR,00014,http://www.bancoprovincia.com.ar,https://www.bcra.gob.ar/Imagenes/logosbancos/00014.jpg
BANCO DE LA PROVINCIA DE CORDOBA S.,00020,http://www.bancor.com.ar,https://www.bcra.gob.ar/Imagenes/logosbancos/00020.jpg
